"","table.x","first_id","desc","category","label","format","year","ISCED_number","ISCED_label","ISCED_desc"
"6162","MÉNAGE","DIEPCJ","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par le conjoint",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES),","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6163","MÉNAGE","DIEPCJ","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par le conjoint",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES), brevet d'agent technique agricole.","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6165","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",21,"Certificat d'éducation professionnelle","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6166","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA,","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6167","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA, examen de fin d'apprentissage artisanal (EFAA)","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6168","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",25,"CAP (ou CAPA), obtenu en dehors de l'apprentissage","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6169","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",27,"BEP (ou BEPA), obtenu en dehors de l'apprentissage","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6170","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",29,"Autres diplômes de niveau CAP ou BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6171","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",32,"Brevet de technicien (BT ou BTA) ou baccalauréat de technicien (STI, STL, SMS, STT ou F, G, H)","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6172","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",34,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6173","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",36,"Autre diplôme de niveau du baccalauréat de technicien","Categorical",2004,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6174","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES),","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6175","MÉNAGE","DIEPPR","Diplôme le plus élevé obtenu en enseignement technique ou professionnel par la personne de référence",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES), brevet d'agent technique agricole.","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6177","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",41,"Diplôme universitaire du 1er cycle (sauf DUT) : propédeutique, DUEL, DUES, DEUG, PCEM...","Categorical",2004,"540","Short-cycle tertiary education, General, Not further defined",NA
"6178","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur)","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6179","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale,","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6180","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale, d'arts appliqués","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6181","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",44,"Diplôme des professions de la santé (hors celle de médecin, dentiste, pharmacien) et des professions","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6182","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",44,"Diplôme des professions de la santé (hors celle de médecin, dentiste, pharmacien) et des professions sociales","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6183","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",45,"Certificat d'aptitude pédagogique, certificat de fin d'études normales (CFEN)","Categorical",2004,"650","Bachelor’s or equivalent level, Professional, Not further defined",NA
"6184","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",46,"Diplôme universitaire du 2ème cycle (licence, maîtrise, IUFM)","Categorical",2004,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"6185","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de","Categorical",2004,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6186","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de chirurgien-dentiste , CAPES, CAPET, agrégation)","Categorical",2004,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6187","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",48,"Diplôme d'une grande école ou d'une école d'ingénieur (non citée ci dessous)","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6188","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature,","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6189","MÉNAGE","DIESCJ","Diplôme le plus élevé obtenu en enseignement supérieur par le conjoint",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature, ESSEC, ENA, ENGREF, ENSAE, Génie maritime, HEC, INA (""Agro""), Mines, Navale, Normale","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6191","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",41,"Diplôme universitaire du 1er cycle (sauf DUT) : propédeutique, DUEL, DUES, DEUG, PCEM...","Categorical",2004,"540","Short-cycle tertiary education, General, Not further defined",NA
"6192","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur)","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6193","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale,","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6194","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale, d'arts appliqués","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6195","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",44,"Diplôme des professions de la santé (hors celle de médecin, dentiste, pharmacien) et des professions","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6196","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",44,"Diplôme des professions de la santé (hors celle de médecin, dentiste, pharmacien) et des professions sociales","Categorical",2004,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"6197","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",45,"Certificat d'aptitude pédagogique, certificat de fin d'études normales (CFEN)","Categorical",2004,"650","Bachelor’s or equivalent level, Professional, Not further defined",NA
"6198","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",46,"Diplôme universitaire du 2ème cycle (licence, maîtrise, IUFM)","Categorical",2004,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"6199","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de","Categorical",2004,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6200","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de chirurgien-dentiste , CAPES, CAPET, agrégation)","Categorical",2004,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6201","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",48,"Diplôme d'une grande école ou d'une école d'ingénieur (non citée ci dessous)","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6202","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature,","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6203","MÉNAGE","DIESPR","Diplôme le plus élevé obtenu en enseignement supérieur par la personne de référence",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature, ESSEC, ENA, ENGREF, ENSAE, Génie maritime, HEC, INA (""Agro""), Mines, Navale, Normale","Categorical",2004,"750","Master’s or equivalent level, Professional, Not further defined",NA
"6209","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",1,"CEP, DFEO","Categorical",2004,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"6210","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",2,"CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6211","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",3,"BEPC","Categorical",2004,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"6212","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",4,"Bac technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6213","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",5,"Bac général","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6214","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",6,"1er cycle universitaire, DUT, BTS","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined.",NA
"6215","MÉNAGE","DIPLOCJ","Diplôme le plus élevé du conjoint de la personne de référence",7,"2 ème et 3ème cycle, grandes écoles","Categorical",2004,"640, 740, 750, 840","Bachelor’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6217","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",1,"CEP, DFEO","Categorical",2004,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"6218","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",2,"CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6219","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",3,"BEPC","Categorical",2004,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"6220","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",4,"Bac technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6221","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",5,"Bac général","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6222","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",6,"1er cycle universitaire, DUT, BTS","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined.",NA
"6223","MÉNAGE","DIPLOPR","Niveau de diplôme de la personne de référence",7,"2ème et 3ème cycle, grandes écoles","Categorical",2004,"640, 740, 750, 840","Bachelor’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"6703","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6704","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6705","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6706","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6707","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6708","MÉNAGE","HODIP1","Diplôme le plus élevé du premier enfant hors domicile",8,"Refus de répondre","Categorical",2004,NA,NA,NA
"6711","MÉNAGE","HODIP10","Diplôme le plus élevé du dixième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6712","MÉNAGE","HODIP10","Diplôme le plus élevé du dixième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6713","MÉNAGE","HODIP10","Diplôme le plus élevé du dixième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6714","MÉNAGE","HODIP10","Diplôme le plus élevé du dixième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6715","MÉNAGE","HODIP10","Diplôme le plus élevé du dixième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6717","MÉNAGE","HODIP11","Diplôme le plus élevé du onzième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6718","MÉNAGE","HODIP11","Diplôme le plus élevé du onzième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6719","MÉNAGE","HODIP11","Diplôme le plus élevé du onzième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6720","MÉNAGE","HODIP11","Diplôme le plus élevé du onzième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6721","MÉNAGE","HODIP11","Diplôme le plus élevé du onzième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6723","MÉNAGE","HODIP12","Diplôme le plus élevé du douzième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6724","MÉNAGE","HODIP12","Diplôme le plus élevé du douzième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6725","MÉNAGE","HODIP12","Diplôme le plus élevé du douzième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6726","MÉNAGE","HODIP12","Diplôme le plus élevé du douzième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6727","MÉNAGE","HODIP12","Diplôme le plus élevé du douzième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6729","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6730","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6731","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6732","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6733","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6734","MÉNAGE","HODIP2","Diplôme le plus élevé du deuxième enfant hors domicile",8,"Refus de répondre","Categorical",2004,NA,NA,NA
"6737","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6738","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6739","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6740","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6741","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6742","MÉNAGE","HODIP3","Diplôme le plus élevé du troisième enfant hors domicile",8,"Refus de répondre","Categorical",2004,NA,NA,NA
"6745","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6746","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6747","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6748","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6749","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6750","MÉNAGE","HODIP4","Diplôme le plus élevé du quatrième enfant hors domicile",8,"Refus de répondre","Categorical",2004,NA,NA,NA
"6753","MÉNAGE","HODIP5","Diplôme le plus élevé du cinquième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6754","MÉNAGE","HODIP5","Diplôme le plus élevé du cinquième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6755","MÉNAGE","HODIP5","Diplôme le plus élevé du cinquième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6756","MÉNAGE","HODIP5","Diplôme le plus élevé du cinquième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6757","MÉNAGE","HODIP5","Diplôme le plus élevé du cinquième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6760","MÉNAGE","HODIP6","Diplôme le plus élevé du sixième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6761","MÉNAGE","HODIP6","Diplôme le plus élevé du sixième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6762","MÉNAGE","HODIP6","Diplôme le plus élevé du sixième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6763","MÉNAGE","HODIP6","Diplôme le plus élevé du sixième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6764","MÉNAGE","HODIP6","Diplôme le plus élevé du sixième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6767","MÉNAGE","HODIP7","Diplôme le plus élevé du septième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6768","MÉNAGE","HODIP7","Diplôme le plus élevé du septième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6769","MÉNAGE","HODIP7","Diplôme le plus élevé du septième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6770","MÉNAGE","HODIP7","Diplôme le plus élevé du septième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6771","MÉNAGE","HODIP7","Diplôme le plus élevé du septième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6774","MÉNAGE","HODIP8","Diplôme le plus élevé du huitième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6775","MÉNAGE","HODIP8","Diplôme le plus élevé du huitième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6776","MÉNAGE","HODIP8","Diplôme le plus élevé du huitième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6777","MÉNAGE","HODIP8","Diplôme le plus élevé du huitième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6778","MÉNAGE","HODIP8","Diplôme le plus élevé du huitième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"6781","MÉNAGE","HODIP9","Diplôme le plus élevé du neuvième enfant hors domicile",2,"CEP, BEPC, CAP, BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"6782","MÉNAGE","HODIP9","Diplôme le plus élevé du neuvième enfant hors domicile",3,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"6783","MÉNAGE","HODIP9","Diplôme le plus élevé du neuvième enfant hors domicile",4,"Baccalauréat général ou technique","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"6784","MÉNAGE","HODIP9","Diplôme le plus élevé du neuvième enfant hors domicile",5,"Bac+2(DEUG, BTS, DUT...)","Categorical",2004,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"6785","MÉNAGE","HODIP9","Diplôme le plus élevé du neuvième enfant hors domicile",6,"Supérieur à Bac+2","Categorical",2004,"640, 650","Bachelor's or equivalent level, or more.",NA
"9532","INDIVIDU","DIP14","Diplôme le plus élevé",10,"Diplôme de 3e cycle universitaire (DES, DEA, DESS, master), doctorat (y compris professions de santé)","Categorical",2010,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
